timestamp_sent,field,channel,reading
1668546475.235355,D,X,-0.0152587890625
1668546475.235355,D,Y,0.0054931640625
1668546475.235355,D,Z,-0.89508056640625
1668546475.236347,D,X,-0.015869140625
1668546475.236347,D,Y,0.006103515625
1668546475.236347,D,Z,-0.89385986328125
1668546475.237339,D,X,-0.006103515625
1668546475.237339,D,Y,0.006103515625
1668546475.237339,D,Z,-0.89019775390625
1668546475.238331,D,X,-0.00244140625
1668546475.238331,D,Y,0.006103515625
1668546475.238331,D,Z,-0.8953857421875
1668546475.239323,D,X,0.0018310546875
1668546475.239323,D,Y,0.0103759765625
1668546475.239323,D,Z,-0.91888427734375
1668546475.240315,D,X,0.01220703125
1668546475.240315,D,Y,0.01678466796875
1668546475.240315,D,Z,-0.941162109375
1668546475.241307,D,X,0.01678466796875
1668546475.241307,D,Y,0.0201416015625
1668546475.241307,D,Z,-0.93719482421875
1668546475.238757,A,X,-0.01922607421875
1668546475.238757,A,Y,0.03662109375
1668546475.238757,A,Z,-0.94757080078125
1668546475.239757,A,X,-0.0299072265625
1668546475.239757,A,Y,0.04486083984375
1668546475.239757,A,Z,-0.95703125
1668546475.240757,A,X,-0.0372314453125
1668546475.240757,A,Y,0.05615234375
1668546475.240757,A,Z,-0.960693359375
1668546475.241757,A,X,-0.0341796875
1668546475.241757,A,Y,0.057373046875
1668546475.241757,A,Z,-0.966796875
1668546475.242757,A,X,-0.0335693359375
1668546475.242757,A,Y,0.05126953125
1668546475.242757,A,Z,-0.9735107421875
1668546475.243757,A,X,-0.0262451171875
1668546475.243757,A,Y,0.0469970703125
1668546475.243757,A,Z,-0.97747802734375
1668546475.244757,A,X,-0.01861572265625
1668546475.244757,A,Y,0.04486083984375
1668546475.244757,A,Z,-0.9722900390625
1668546475.24053,B,X,0.003662109375
1668546475.24053,B,Y,0.0634765625
1668546475.24053,B,Z,-0.87799072265625
1668546475.241528,B,X,0.001220703125
1668546475.241528,B,Y,0.06561279296875
1668546475.241528,B,Z,-0.88897705078125
1668546475.242526,B,X,0.00701904296875
1668546475.242526,B,Y,0.062255859375
1668546475.242526,B,Z,-0.9197998046875
1668546475.243524,B,X,0.00762939453125
1668546475.243524,B,Y,0.06072998046875
1668546475.243524,B,Z,-0.94818115234375
1668546475.244522,B,X,0.010986328125
1668546475.244522,B,Y,0.06072998046875
1668546475.244522,B,Z,-0.9393310546875
1668546475.24552,B,X,0.01708984375
1668546475.24552,B,Y,0.05096435546875
1668546475.24552,B,Z,-0.9100341796875
1668546475.246518,B,X,0.01861572265625
1668546475.246518,B,Y,0.04119873046875
1668546475.246518,B,Z,-0.8782958984375
1668546475.242306,D,X,0.0128173828125
1668546475.242306,D,Y,0.01617431640625
1668546475.242306,D,Z,-0.94818115234375
1668546475.243298,D,X,0.00579833984375
1668546475.243298,D,Y,0.00885009765625
1668546475.243298,D,Z,-0.95611572265625
1668546475.24429,D,X,0.0091552734375
1668546475.24429,D,Y,0.00091552734375
1668546475.24429,D,Z,-0.9375
1668546475.245282,D,X,0.0048828125
1668546475.245282,D,Y,0.0006103515625
1668546475.245282,D,Z,-0.9124755859375
1668546475.246274,D,X,0.00091552734375
1668546475.246274,D,Y,0.0054931640625
1668546475.246274,D,Z,-0.91156005859375
1668546475.247266,D,X,-0.00152587890625
1668546475.247266,D,Y,0.00091552734375
1668546475.247266,D,Z,-0.90087890625
1668546475.248258,D,X,-0.00732421875
1668546475.248258,D,Y,-0.001220703125
1668546475.248258,D,Z,-0.889892578125
1668546475.245757,A,X,-0.01922607421875
1668546475.245757,A,Y,0.0347900390625
1668546475.245757,A,Z,-0.96649169921875
1668546475.246757,A,X,-0.01922607421875
1668546475.246757,A,Y,0.0299072265625
1668546475.246757,A,Z,-0.96343994140625
1668546475.247757,A,X,-0.0103759765625
1668546475.247757,A,Y,0.03021240234375
1668546475.247757,A,Z,-0.9521484375
1668546475.248757,A,X,-0.009765625
1668546475.248757,A,Y,0.02288818359375
1668546475.248757,A,Z,-0.93902587890625
1668546475.249757,A,X,-0.018310546875
1668546475.249757,A,Y,0.01556396484375
